,submitter_title,date,submitter_name,reviewer_name,reviewer_orcid,sim,count
130,Adaptive Fault-Tolerance for Dynamic Resource Provisioning in Distributed Stream Processing Systems,20200122,Paolo Bellavista,Sutanay Choudhury,1242,0.15555555555555556,0
131,Adaptive Fault-Tolerance for Dynamic Resource Provisioning in Distributed Stream Processing Systems,20200122,Paolo Bellavista,R. Uday Kiran,1165,0.11554054054054053,0
132,Fast Sort on CPUs and GPUs: A Case for Bandwidth Oblivious SIMD Sort,20200123,Nadathur Satish,Julian Shun,972,0.11554054054054053,0
133,Fast Sort on CPUs and GPUs: A Case for Bandwidth Oblivious SIMD Sort,20200123,Nadathur Satish,Inah Jeon,922,0.11861504307305325,0
134,Fast Sort on CPUs and GPUs: A Case for Bandwidth Oblivious SIMD Sort,20200123,Nadathur Satish,Yongming Luo,1344,0.11861504307305325,0
135,Fast Sort on CPUs and GPUs: A Case for Bandwidth Oblivious SIMD Sort,20200123,Nadathur Satish,Abdullah Mueen,683,0.19642857142857145,0
136,Fast Sort on CPUs and GPUs: A Case for Bandwidth Oblivious SIMD Sort,20200123,Nadathur Satish,Sudeepa Roy,1235,0.11554054054054053,0
137,Fast Sort on CPUs and GPUs: A Case for Bandwidth Oblivious SIMD Sort,20200123,Nadathur Satish,Moritz Kaufmann,1096,0.07832594463128473,0
138,"Serializability, not Serial: Concurrency Control and Availability in Multi-Datacenter Datastores",20200124,Stacy Patterson,Jing Wang,960,0.07832594463128473,0
139,"Serializability, not Serial: Concurrency Control and Availability in Multi-Datacenter Datastores",20200124,Stacy Patterson,Inah Jeon,922,0.07832594463128473,0
140,"Serializability, not Serial: Concurrency Control and Availability in Multi-Datacenter Datastores",20200124,Stacy Patterson,Yu Li,1348,0.07631578947368423,0
141,"Serializability, not Serial: Concurrency Control and Availability in Multi-Datacenter Datastores",20200124,Stacy Patterson,Haohan Zhu,897,0.11554054054054053,0
142,"Serializability, not Serial: Concurrency Control and Availability in Multi-Datacenter Datastores",20200124,Stacy Patterson,Erman Pattuk,843,0.07631578947368423,0
143,"Serializability, not Serial: Concurrency Control and Availability in Multi-Datacenter Datastores",20200124,Stacy Patterson,Damian Bursztyn,792,0.07631578947368423,0
144,Actively Soliciting Feedback for Query Answers in Keyword Search-Based Data Integration,20200125,Zhepeng Yan,Zheng Li,1378,0.11554054054054053,0
145,Actively Soliciting Feedback for Query Answers in Keyword Search-Based Data Integration,20200125,Zhepeng Yan,Jing Wang,960,0.07832594463128473,0
146,Actively Soliciting Feedback for Query Answers in Keyword Search-Based Data Integration,20200125,Zhepeng Yan,Oliver Kennedy,1124,0.11554054054054053,0
147,Actively Soliciting Feedback for Query Answers in Keyword Search-Based Data Integration,20200125,Zhepeng Yan,Abdallah Arioua,682,0.11554054054054053,0
148,Actively Soliciting Feedback for Query Answers in Keyword Search-Based Data Integration,20200125,Zhepeng Yan,Jennie Duggan,938,0.11554054054054053,0
149,Actively Soliciting Feedback for Query Answers in Keyword Search-Based Data Integration,20200125,Zhepeng Yan,Yuyang Dong,1367,0.11554054054054053,0
150,Data Generation using Declarative Constraints,20200126,Arvind Arasu,Jing Wang,960,0.11861504307305325,0
151,Data Generation using Declarative Constraints,20200126,Arvind Arasu,Haohan Zhu,897,0.11554054054054053,0
152,Data Generation using Declarative Constraints,20200126,Arvind Arasu,Daniel Schall,800,0.11861504307305325,0
153,Data Generation using Declarative Constraints,20200126,Arvind Arasu,Mingjie Tang,1081,0.11861504307305325,0
154,Data Generation using Declarative Constraints,20200126,Arvind Arasu,Xingcan Cui,1318,0.11554054054054053,0
155,Data Generation using Declarative Constraints,20200126,Arvind Arasu,Henrietta Dombrovskaya,903,0.11554054054054053,0
156,Dependency-Aware Reordering for Parallelizing Query Optimization in Multi-Core CPUs,20200127,Wook-Shin Han,Cristian Consonni,789,0.11861504307305325,0
157,Dependency-Aware Reordering for Parallelizing Query Optimization in Multi-Core CPUs,20200127,Wook-Shin Han,Foteini Katsarou,866,0.11554054054054053,0
158,Dependency-Aware Reordering for Parallelizing Query Optimization in Multi-Core CPUs,20200127,Wook-Shin Han,Christina Pavlopoulou,779,0.11554054054054053,0
159,Dependency-Aware Reordering for Parallelizing Query Optimization in Multi-Core CPUs,20200127,Wook-Shin Han,Zheng Li,1378,0.11554054054054053,0
160,Dependency-Aware Reordering for Parallelizing Query Optimization in Multi-Core CPUs,20200127,Wook-Shin Han,Jennie Duggan,938,0.11554054054054053,0
161,Dependency-Aware Reordering for Parallelizing Query Optimization in Multi-Core CPUs,20200127,Wook-Shin Han,Andrey Gubichev,717,0.07832594463128473,0
162,Hybrid Storage Management for Database Systems,20200128,Xin Liu,Jiang Du,950,0.19642857142857145,0
163,Hybrid Storage Management for Database Systems,20200128,Xin Liu,Lu Chen,1029,0.19642857142857145,0
164,Hybrid Storage Management for Database Systems,20200128,Xin Liu,Kasper Mullesgaard,985,0.15555555555555556,0
165,Hybrid Storage Management for Database Systems,20200128,Xin Liu,Rong Zhang,1190,0.15555555555555556,0
166,Hybrid Storage Management for Database Systems,20200128,Xin Liu,Daniel Schall,800,0.15974069235137256,0
167,Hybrid Storage Management for Database Systems,20200128,Xin Liu,Pericles de Oliveira,1142,0.15974069235137256,0
168,Efficient Indexing for Diverse Query Results,20200129,Lu Li ,Cristian Consonni,789,0.08040935672514621,0
169,Efficient Indexing for Diverse Query Results,20200129,Lu Li ,Yuchen Li,1356,0.08040935672514621,0
170,Efficient Indexing for Diverse Query Results,20200129,Lu Li ,Jing Wang,960,0.08040935672514621,0
171,Efficient Indexing for Diverse Query Results,20200129,Lu Li ,Hina A. Khan,906,0.11861504307305325,0
172,Efficient Indexing for Diverse Query Results,20200129,Lu Li ,Nicole Bidoit,1109,0.11861504307305325,0
173,Efficient Indexing for Diverse Query Results,20200129,Lu Li ,Lu Chen,1029,0.11861504307305325,0
174,Hardware-Oblivious Parallelism for In-Memory Column-Stores,20200130,Max Heimel ,Yubao Wu,1355,0.08280404302609262,0
175,Hardware-Oblivious Parallelism for In-Memory Column-Stores,20200130,Max Heimel ,Oliver Kennedy,1124,0.08280404302609262,0
176,Hardware-Oblivious Parallelism for In-Memory Column-Stores,20200130,Max Heimel ,Haohan Zhu,897,0.1254665687408196,0
177,Hardware-Oblivious Parallelism for In-Memory Column-Stores,20200130,Max Heimel ,Ling Gu,1023,0.08280404302609262,0
178,Hardware-Oblivious Parallelism for In-Memory Column-Stores,20200130,Max Heimel ,Daniel Schall,800,0.08505325311334808,0
179,Hardware-Oblivious Parallelism for In-Memory Column-Stores,20200130,Max Heimel ,Liping Peng,1024,0.08280404302609262,0
180,SpatialHadoop: A MapReduce Framework for Spatial Data,20200131,Ahmed Eldawy,Cristian Consonni,789,0.11861504307305325,0
181,SpatialHadoop: A MapReduce Framework for Spatial Data,20200131,Ahmed Eldawy,Zheng Li,1378,0.15555555555555556,0
182,SpatialHadoop: A MapReduce Framework for Spatial Data,20200131,Ahmed Eldawy,Jing Wang,960,0.15974069235137256,0
183,SpatialHadoop: A MapReduce Framework for Spatial Data,20200131,Ahmed Eldawy,Jennie Duggan,938,0.11554054054054053,0
184,SpatialHadoop: A MapReduce Framework for Spatial Data,20200131,Ahmed Eldawy,Mingjie Tang,1081,0.15974069235137256,0
185,SpatialHadoop: A MapReduce Framework for Spatial Data,20200131,Ahmed Eldawy,Thomas Heinis,1255,0.11554054054054053,0
186,3-HOP: A High-Compression Indexing Scheme for Reachability Query,20200201,Ruoming Jin,Yazhe Wang,1336,0.11554054054054053,0
187,3-HOP: A High-Compression Indexing Scheme for Reachability Query,20200201,Ruoming Jin,Jing Wang,960,0.11861504307305325,0
188,3-HOP: A High-Compression Indexing Scheme for Reachability Query,20200201,Ruoming Jin,Dimitris Bilidas,816,0.11554054054054053,0
189,3-HOP: A High-Compression Indexing Scheme for Reachability Query,20200201,Ruoming Jin,Tanmoy Chakraborty,1246,0.11554054054054053,0
190,3-HOP: A High-Compression Indexing Scheme for Reachability Query,20200201,Ruoming Jin,Saad Aljubayrin,1195,0.11554054054054053,0
191,3-HOP: A High-Compression Indexing Scheme for Reachability Query,20200201,Ruoming Jin,Andrey Gubichev,717,0.07832594463128473,0
192,Optimizing Recursive Queries with Monotonic Aggregates in DeALS,20200202,Alexander Shkapsky,Hoang Vu Nguyen,907,0.11554054054054053,0
193,Optimizing Recursive Queries with Monotonic Aggregates in DeALS,20200202,Alexander Shkapsky,Oliver Kennedy,1124,0.15555555555555556,0
194,Optimizing Recursive Queries with Monotonic Aggregates in DeALS,20200202,Alexander Shkapsky,Robert Brunel,1186,0.11861504307305325,0
195,Optimizing Recursive Queries with Monotonic Aggregates in DeALS,20200202,Alexander Shkapsky,Ling Gu,1023,0.11554054054054053,0
196,Optimizing Recursive Queries with Monotonic Aggregates in DeALS,20200202,Alexander Shkapsky,Jennie Duggan,938,0.11554054054054053,0
197,Optimizing Recursive Queries with Monotonic Aggregates in DeALS,20200202,Alexander Shkapsky,Aristides Gionis,732,0.11554054054054053,0
198,Entity Resolution with Iterative Blocking,20200203,Steven Euijong Whang,Chen Jason Zhang,769,0.11554054054054053,0
199,Entity Resolution with Iterative Blocking,20200203,Steven Euijong Whang,Yongming Luo,1344,0.07832594463128473,0
200,Entity Resolution with Iterative Blocking,20200203,Steven Euijong Whang,Rong Zhang,1190,0.07631578947368423,0
