,result
130,"('Modeling and Exploiting Goal and Action Associations for Recommendations', 20200213, 'Dimitra Papadimitriou', 'Shiwen Cheng', 1211, 0.15555555555555556, 2)"
131,"('Modeling and Exploiting Goal and Action Associations for Recommendations', 20200213, 'Dimitra Papadimitriou', 'Ting Deng', 1262, 0.15555555555555556, 2)"
132,"('Discovering Correlations in Annotated Databases', 20200214, 'Xuebin He', 'Ling Gu', 1023, 0.19642857142857145, 1)"
133,"('Discovering Correlations in Annotated Databases', 20200214, 'Xuebin He', 'Abdallah Arioua', 682, 0.15555555555555556, 2)"
134,"('Discovering Correlations in Annotated Databases', 20200214, 'Xuebin He', 'Franc¢¬ois Goasdoue', 867, 0.15555555555555556, 1)"
135,"('Efficient and scalable trie-based algorithms for computing set containment relations', 20200215, 'Yongming Luo', 'Long Yuan', 1027, 0.15974069235137256, 2)"
136,"('Efficient and scalable trie-based algorithms for computing set containment relations', 20200215, 'Yongming Luo', 'Haichuan Shang', 890, 0.12180451127819547, 1)"
137,"('Efficient and scalable trie-based algorithms for computing set containment relations', 20200215, 'Yongming Luo', 'Feifei Li', 859, 0.11861504307305325, 2)"
138,"('Reachability Queries on Large Dynamic Graphs: A Total Order Approach', 20200216, 'Andy Diwen Zhu', 'Tilmann Zaschke', 1260, 0.15974069235137256, 2)"
139,"('Reachability Queries on Large Dynamic Graphs: A Total Order Approach', 20200216, 'Andy Diwen Zhu', 'Hoang Vu Nguyen', 907, 0.11554054054054053, 1)"
140,"('Reachability Queries on Large Dynamic Graphs: A Total Order Approach', 20200216, 'Andy Diwen Zhu', 'Radu Stoica', 1168, 0.11554054054054053, 2)"
141,"('Opportunistic Physical Design for Big Data Analytics', 20200217, ' Jeff LeFevre', 'Sumeet Bajaj', 1239, 0.15555555555555556, 1)"
142,"('Opportunistic Physical Design for Big Data Analytics', 20200217, ' Jeff LeFevre', 'Iraklis Psaroudakis', 926, 0.15555555555555556, 2)"
143,"('Opportunistic Physical Design for Big Data Analytics', 20200217, ' Jeff LeFevre', 'Pirooz Chubak', 1154, 0.11554054054054053, 2)"
144,"('Discovering Order Dependencies through Order Compatibility', 20200218, 'Cristian Consonni', 'Per-Ake Larson', 1140, 0.16408668730650156, 1)"
145,"('Discovering Order Dependencies through Order Compatibility', 20200218, 'Cristian Consonni', 'Bin Cao', 750, 0.15974069235137256, 1)"
146,"('Discovering Order Dependencies through Order Compatibility', 20200218, 'Cristian Consonni', 'Hyunjung Park', 919, 0.15974069235137256, 2)"
147,"('Comparative Analysis of Content-based Personalized Microblog Recommendations [Experiments and Analysis]', 20200219, 'Efi Karra Taniskidou', 'Shi Gao', 1207, 0.19642857142857145, 2)"
148,"('Comparative Analysis of Content-based Personalized Microblog Recommendations [Experiments and Analysis]', 20200219, 'Efi Karra Taniskidou', 'Shiwen Cheng', 1211, 0.15555555555555556, 3)"
149,"('Comparative Analysis of Content-based Personalized Microblog Recommendations [Experiments and Analysis]', 20200219, 'Efi Karra Taniskidou', 'Amit Goyal', 709, 0.15555555555555556, 2)"
