,result
124,"('Discovering Correlations in Annotated Databases', 20200214, 'Xuebin He', 'Abhay Jha', 684, 0.09258956150821482, 3)"
125,"('Efficient and scalable trie-based algorithms for computing set containment relations', 20200215, 'Yongming Luo', 'Gregory Buehrer', 885, 0.1872812945967288, 1)"
126,"('Efficient and scalable trie-based algorithms for computing set containment relations', 20200215, 'Yongming Luo', 'Victor Alvarez', 1277, 0.14992774559903949, 1)"
127,"('Efficient and scalable trie-based algorithms for computing set containment relations', 20200215, 'Yongming Luo', 'Joachim Selke', 963, 0.1467226752361015, 2)"
128,"('Reachability Queries on Large Dynamic Graphs: A Total Order Approach', 20200216, 'Andy Diwen Zhu', 'James Cheng', 929, 0.2645325127659933, 2)"
129,"('Opportunistic Physical Design for Big Data Analytics', 20200217, ' Jeff LeFevre', 'Kai Ren', 978, 0.17150866755675093, 2)"
130,"('Opportunistic Physical Design for Big Data Analytics', 20200217, ' Jeff LeFevre', 'Yun Chi', 1361, 0.12878787878787884, 2)"
131,"('Opportunistic Physical Design for Big Data Analytics', 20200217, ' Jeff LeFevre', 'George A. Vouros', 874, 0.12878787878787884, 3)"
132,"('Discovering Order Dependencies through Order Compatibility', 20200218, 'Cristian Consonni', 'Jing Wang', 960, 0.16459622516043754, 3)"
133,"('Discovering Order Dependencies through Order Compatibility', 20200218, 'Cristian Consonni', 'Nurzhan Bakibayev', 1120, 0.14962121212121215, 2)"
134,"('Discovering Order Dependencies through Order Compatibility', 20200218, 'Cristian Consonni', 'Marios Meimaris', 1056, 0.12878787878787884, 3)"
135,"('Comparative Analysis of Content-based Personalized Microblog Recommendations [Experiments and Analysis]', 20200219, 'Efi Karra Taniskidou', 'Aditya Parameswaran', 689, 0.18461224438607346, 2)"
136,"('Comparative Analysis of Content-based Personalized Microblog Recommendations [Experiments and Analysis]', 20200219, 'Efi Karra Taniskidou', 'Shiwen Cheng', 1211, 0.16703025125088636, 2)"
137,"('Comparative Analysis of Content-based Personalized Microblog Recommendations [Experiments and Analysis]', 20200219, 'Efi Karra Taniskidou', 'Norases Vesdapunt', 1119, 0.1445409429280397, 1)"
138,"('An Analysis of Structured Data on the Web', 20200220, 'Nilesh Dalvi', 'Raman Grover', 1175, 0.11895580193070293, 3)"
139,"('An Analysis of Structured Data on the Web', 20200220, 'Nilesh Dalvi', 'Marco D. Adelfio', 1051, 0.10092145889930178, 1)"
140,"('An Analysis of Structured Data on the Web', 20200220, 'Nilesh Dalvi', 'Matteo Interlandi', 1063, 0.09876834999117604, 2)"
141,"('Query Processing under GLAV Mappings for Relational and Graph Databases', 20200221, 'Diego Calvanese', 'Joseph M. Hellerstein', 1125, 0.17293239555867435, 1)"
142,"('Query Processing under GLAV Mappings for Relational and Graph Databases', 20200221, 'Diego Calvanese', 'Lei Chang', 1015, 0.16814428184106456, 1)"
143,"('A Moving-Object Index for Efficient Query Processing with Peer-Wise Location Privacy', 20200222, 'Dan Lin', 'Ada Wai-Chee Fu', 686, 0.16098386614690965, 3)"
144,"('A Moving-Object Index for Efficient Query Processing with Peer-Wise Location Privacy', 20200222, 'Dan Lin', 'Zaiben Chen', 1370, 0.1408008043791047, 3)"
